order,node_index,node_name,mesh_index,mesh_name,inference_mode,group_id,group_size,predicted_label,predicted_class,confidence,second_label,second_class,second_confidence,vertex_count,face_count,surface_area,mesh_volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_size_x,bbox_size_y,bbox_size_z,bbox_diagonal,bbox_volume,obb_size_long,obb_size_mid,obb_size_short,elongation,flatness,compactness,shape_hint,centroid_x,centroid_y,centroid_z,size_class,detail_class,confidence_class,confidence_margin,semantic_group,geometry_fallback_class,small_low_conf_refined,lod_priority,lod_strategy,target_ratio_near,target_ratio_mid,target_ratio_far,allow_cull,screen_error_weight
1659,1658,Mesh.869,1658,Mesh_869.004,mesh,mesh_1659,1,4,bearings_bushings_guides,0.7976601123809814,2,washers_rings_spacers,0.023946525529026985,5144,6400,0.002088639885187149,,0.1260005235671997,0.7490003108978271,-1.1796221733093262,0.1539994329214096,0.7769997119903564,-1.1716221570968628,0.0279989093542099,0.027999401092529297,0.008000016212463379,0.04039685193137295,6.271634255099476e-06,0.027999401092529297,0.0279989093542099,0.008000016212463379,1.000017562766934,0.28572097617466236,0.09513452542784158,irregular,0.1399994194507599,0.7630020380020142,-1.1756179332733154,S1_tiny,D3_high,C2_high,0.7737135868519545,motion_or_precision_part,geom_high_detail_irregular,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1660,1659,Mesh.760,1659,Mesh_760.004,mesh,mesh_1660,1,8,joints_clamps_structural_connectors,0.6656584739685059,12,handles_controls,0.053819723427295685,1556,1400,0.005060224793851376,,1.666119933128357,0.748199999332428,-1.1496222019195557,1.6961199045181274,0.8122000098228455,-1.1246222257614136,0.029999971389770508,0.06400001049041748,0.02499997615814209,0.07497331814764684,4.799991631510738e-05,0.06400001049041748,0.029999971389770508,0.02499997615814209,2.133335717521398,0.3906245634426147,0.1138990977285664,irregular,1.6810691356658936,0.7972186207771301,-1.1410478353500366,S2_small,D1_low,C1_medium,0.6118387505412102,structural_key_part,geom_simple_irregular,False,P7_interface_fluid,structural_interface_connector,0.8,0.52,0.28,False,1.18
1661,1660,Mesh.761,1660,Mesh_761.004,mesh,mesh_1661,1,12,handles_controls,0.18640010058879852,10,rotating_fluid_machinery,0.10600034147500992,1763,1596,0.004647781141102314,,1.652325987815857,0.7990001440048218,-1.4455225467681885,1.6985198259353638,0.8102001547813416,-1.1123288869857788,0.046193838119506836,0.011200010776519775,0.33319365978240967,0.3365669708108648,0.00017238489847000755,0.33319365978240967,0.046193838119506836,0.011200010776519775,7.2129459976980765,0.033614117338949014,0.004521522907110812,flat_plate,1.6842564344406128,0.8045961856842041,-1.1541666984558105,S4_large,D1_low,C0_low_or_ambiguous,0.0803997591137886,semantic_uncertain,geom_thin_plate,False,P1_micro_uncertain,uncertain_micro_or_sheet,0.25,0.08,0.02,True,0.4
1662,1661,Mesh.769,1661,Mesh_769.004,mesh,mesh_1662,1,4,bearings_bushings_guides,0.8030831813812256,2,washers_rings_spacers,0.02072274312376976,5144,6400,0.002088639885187149,,0.1260005235671997,0.7490003108978271,-1.3976223468780518,0.1539994329214096,0.7769997119903564,-1.3896223306655884,0.0279989093542099,0.027999401092529297,0.008000016212463379,0.04039685193137295,6.271634255099476e-06,0.027999401092529297,0.0279989093542099,0.008000016212463379,1.000017562766934,0.28572097617466236,0.09513452542784158,irregular,0.1399994194507599,0.7630020380020142,-1.393640160560608,S1_tiny,D3_high,C2_high,0.7823604382574558,motion_or_precision_part,geom_high_detail_irregular,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1663,1662,Mesh.893,1662,Mesh_893.004,mesh,mesh_1663,1,4,bearings_bushings_guides,0.7901268601417542,2,washers_rings_spacers,0.02355877310037613,5144,6400,0.002088639885187149,,0.1260005235671997,0.7490003108978271,-1.4056223630905151,0.1539994329214096,0.7769997119903564,-1.3976223468780518,0.0279989093542099,0.027999401092529297,0.008000016212463379,0.04039685193137295,6.271634255099476e-06,0.027999401092529297,0.0279989093542099,0.008000016212463379,1.000017562766934,0.28572097617466236,0.09513452542784158,irregular,0.1399994194507599,0.7630020380020142,-1.4016129970550537,S1_tiny,D3_high,C2_high,0.766568087041378,motion_or_precision_part,geom_high_detail_irregular,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1664,1663,Mesh.868,1663,Mesh_868.004,mesh,mesh_1664,1,4,bearings_bushings_guides,0.7840657234191895,2,washers_rings_spacers,0.02942304126918316,5144,6400,0.0020886389538645744,,2.4860005378723145,0.7490003108978271,-1.3976223468780518,2.5139994621276855,0.7769997119903564,-1.3896223306655884,0.027998924255371094,0.027999401092529297,0.008000016212463379,0.04039686225931434,6.271637592894952e-06,0.027999401092529297,0.027998924255371094,0.008000016212463379,1.0000170305528118,0.28572097617466236,0.09513450309205648,irregular,2.500000476837158,0.7630020380020142,-1.393640160560608,S1_tiny,D3_high,C2_high,0.7546426821500063,motion_or_precision_part,geom_high_detail_irregular,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1665,1664,Mesh.878,1664,Mesh_878.004,mesh,mesh_1665,1,4,bearings_bushings_guides,0.7987238168716431,2,washers_rings_spacers,0.02532629668712616,5144,6400,0.002088639885187149,,0.1260005235671997,0.7490003108978271,-1.1716222763061523,0.1539994329214096,0.7769997119903564,-1.163622260093689,0.0279989093542099,0.027999401092529297,0.008000016212463379,0.04039685193137295,6.271634255099476e-06,0.027999401092529297,0.0279989093542099,0.008000016212463379,1.000017562766934,0.28572097617466236,0.09513452542784158,irregular,0.1399994194507599,0.7630020380020142,-1.1676089763641357,S1_tiny,D3_high,C2_high,0.7733975201845169,motion_or_precision_part,geom_high_detail_irregular,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1666,1665,Mesh.830,1665,Mesh_830.004,mesh,mesh_1666,1,5,gears_pulleys_chains,0.8464462161064148,10,rotating_fluid_machinery,0.02450934611260891,5738,4948,0.005928860977292061,,0.12200018018484116,0.7450002431869507,-1.439622402191162,0.15799979865550995,0.7809997797012329,-1.4196224212646484,0.03599961847066879,0.03599953651428223,0.019999980926513672,0.0546986142085681,2.5919366874043342e-05,0.03599961847066879,0.03599953651428223,0.019999980926513672,1.0000022765956038,0.5555609135915967,0.15837820557701973,round_or_cubic,0.13967935740947723,0.7638529539108276,-1.429404854774475,S1_tiny,D3_high,C2_high,0.8219368699938059,motion_or_precision_part,geom_compact_block,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1667,1666,Mesh.840,1666,Mesh_840.004,mesh,mesh_1667,1,5,gears_pulleys_chains,0.8331764340400696,10,rotating_fluid_machinery,0.026834772899746895,5738,4948,0.005928860977292061,,0.16449977457523346,0.5790003538131714,-1.439622402191162,0.2004997730255127,0.6149997115135193,-1.4196224212646484,0.035999998450279236,0.0359993577003479,0.019999980926513672,0.054698746606468195,2.591951170967526e-05,0.035999998450279236,0.0359993577003479,0.019999980926513672,1.000017798926766,0.555555049651913,0.15837794052012535,round_or_cubic,0.1818704754114151,0.5976601243019104,-1.4298851490020752,S1_tiny,D3_high,C2_high,0.8063416611403227,motion_or_precision_part,geom_compact_block,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1668,1667,Mesh.812,1667,Mesh_812.004,mesh,mesh_1668,1,4,bearings_bushings_guides,0.7151886820793152,0,screws_bolts_studs,0.0463046133518219,8918,7772,1.0943357944488525,,0.24500000476837158,0.724000096321106,-1.1796224117279053,2.3949999809265137,0.7840001583099365,-1.1496224403381348,2.149999976158142,0.060000061988830566,0.029999971389770508,2.15104623455705,0.0038700002646408064,2.149999976158142,0.060000061988830566,0.029999971389770508,35.83329591490055,0.013953475219742922,0.00038883178504335716,flat_plate,1.254389762878418,0.7539305686950684,-1.1623378992080688,S6_huge,D3_high,C2_high,0.6688840687274933,motion_or_precision_part,geom_ultra_thin_sheet,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1669,1668,Mesh.813,1668,Mesh_813.004,mesh,mesh_1669,1,4,bearings_bushings_guides,0.6905555725097656,2,washers_rings_spacers,0.04766305908560753,8714,7772,1.0943374633789062,,0.24500000476837158,0.7240000367164612,-1.4196223020553589,2.3949999809265137,0.784000039100647,-1.3896223306655884,2.149999976158142,0.06000000238418579,0.029999971389770508,2.1510462328944726,0.003869996420144927,2.149999976158142,0.06000000238418579,0.029999971389770508,35.83333151208037,0.013953475219742922,0.000388831399675684,flat_plate,1.2499295473098755,0.754041314125061,-1.4068193435668945,S6_huge,D3_high,C1_medium,0.6428925134241581,motion_or_precision_part,geom_ultra_thin_sheet,False,P10_critical_preserve,critical_motion_or_precision_preserve,1.0,0.8,0.55,False,1.65
1670,1669,Mesh.854,1669,Mesh_854.004,mesh,mesh_1670,1,3,pins_rivets_keys,0.7662308216094971,11,plates_discs_shapes,0.037703949958086014,371,328,2.015737295150757,,0.11907172203063965,0.7420000433921814,-1.3876222372055054,2.5209999084472656,0.784000039100647,-1.1816222667694092,2.401928186416626,0.041999995708465576,0.2059999704360962,2.411111569413959,0.020781477563002006,2.401928186416626,0.2059999704360962,0.041999995708465576,11.65984723848169,0.017485949807318876,0.001482601727358534,flat_plate,1.3810484409332275,0.7630690336227417,-1.2910062074661255,S6_huge,D1_low,C2_high,0.7285268716514111,fastener_repeated,geom_thin_plate,False,P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
