order,node_index,node_name,mesh_index,mesh_name,inference_mode,group_id,group_size,predicted_label,predicted_class,confidence,second_label,second_class,second_confidence,vertex_count,face_count,surface_area,mesh_volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_size_x,bbox_size_y,bbox_size_z,bbox_diagonal,bbox_volume,obb_size_long,obb_size_mid,obb_size_short,elongation,flatness,compactness,shape_hint,centroid_x,centroid_y,centroid_z
3382,3381,Mesh.3381,3381,Mesh_1067.005,mesh,mesh_3382,1,7,pipe_fittings_valves_nozzles,0.7689791321754456,2,washers_rings_spacers,0.02194245159626007,6454,7952,0.004363615531474352,,-0.14797592163085938,-0.05841397866606712,-4.691982269287109,-0.13002397119998932,-0.02400037832558155,-4.644482135772705,0.017951950430870056,0.03441360034048557,0.0475001335144043,0.061341919570170926,2.9345166738388454e-05,0.0475001335144043,0.03441360034048557,0.017951950430870056,1.3802721320768983,0.37793473623450285,0.12713481483426425,irregular,-0.13835379481315613,-0.0401601642370224,-4.665303707122803
3383,3382,Mesh.3382,3382,Mesh_1066.005,mesh,mesh_3383,1,5,gears_pulleys_chains,0.2615436613559723,4,bearings_bushings_guides,0.1573997586965561,540,512,0.0031952643766999245,,-0.15550009906291962,0.6940000057220459,-4.640481948852539,-0.13450010120868683,0.7139999866485596,-4.615482330322266,0.020999997854232788,0.019999980926513672,0.024999618530273438,0.03828811922251971,1.0499828696421105e-05,0.024999618530273438,0.020999997854232788,0.019999980926513672,1.1904581468914046,0.8000114442664226,0.18706395530818867,compact_block,-0.14500001072883606,0.7035016417503357,-4.628073215484619
3384,3383,Mesh.3383,3383,Mesh_1065.005,mesh,mesh_3384,1,4,bearings_bushings_guides,0.6335858106613159,0,screws_bolts_studs,0.16347482800483704,240,148,0.005715229082852602,,-0.12864091992378235,-0.017999917268753052,-4.649631977081299,-0.12335891276597977,0.32300007343292236,-4.644331932067871,0.005282007157802582,0.3409999907016754,0.005300045013427734,0.3410820777104862,9.546252352576559e-06,0.3409999907016754,0.005300045013427734,0.005282007157802582,64.33907444894287,0.015489757483376465,0.00024057816673549732,flat_plate,-0.12598161399364471,0.128345787525177,-4.647004127502441
3385,3384,Mesh.3384,3384,Mesh_1064.005,mesh,mesh_3385,1,4,bearings_bushings_guides,0.6287803649902344,0,screws_bolts_studs,0.16746659576892853,248,148,0.0057153524830937386,,-0.16664090752601624,-0.017999917268753052,-4.649631977081299,-0.16135890781879425,0.3230000436306,-4.644331932067871,0.005281999707221985,0.340999960899353,0.005300045013427734,0.34108204779995643,9.546238052717116e-06,0.340999960899353,0.005300045013427734,0.005281999707221985,64.33906882591093,0.015489736987920007,0.00024057786965117427,flat_plate,-0.16396744549274445,0.13462497293949127,-4.646969795227051
3386,3385,Mesh.3385,3385,Mesh_1063.005,mesh,mesh_3386,1,4,bearings_bushings_guides,0.6534671783447266,0,screws_bolts_studs,0.14795982837677002,239,148,0.005715237930417061,,-0.12864091992378235,-0.017999917268753052,-4.611631870269775,-0.12335891276597977,0.32300007343292236,-4.606331825256348,0.005282007157802582,0.3409999907016754,0.005300045013427734,0.3410820777104862,9.546252352576559e-06,0.3409999907016754,0.005300045013427734,0.005282007157802582,64.33907444894287,0.015489757483376465,0.00024057816673549732,flat_plate,-0.12596140801906586,0.12753133475780487,-4.609018802642822
3387,3386,Mesh.3386,3386,Mesh_1062.005,mesh,mesh_3387,1,4,bearings_bushings_guides,0.6405090689659119,0,screws_bolts_studs,0.16242118179798126,248,148,0.005715330131351948,,-0.16664090752601624,-0.017999917268753052,-4.611631870269775,-0.16135890781879425,0.3230000436306,-4.606331825256348,0.005281999707221985,0.340999960899353,0.005300045013427734,0.34108204779995643,9.546238052717116e-06,0.340999960899353,0.005300045013427734,0.005281999707221985,64.33906882591093,0.015489736987920007,0.00024057786965117427,flat_plate,-0.16396744549274445,0.13462497293949127,-4.608964920043945
3388,3387,Mesh.3387,3387,Mesh_1061.005,mesh,mesh_3388,1,12,handles_controls,0.561241865158081,0,screws_bolts_studs,0.07842434197664261,8475,7584,0.1422838270664215,,-0.17149998247623444,-0.053499940782785416,-4.654481887817383,-0.11849985271692276,0.3760000467300415,-4.601481914520264,0.053000129759311676,0.4294999875128269,0.05299997329711914,0.43599111252125045,0.0012064678108470372,0.4294999875128269,0.053000129759311676,0.05299997329711914,8.103753508968861,0.12339924292904969,0.01455736696134098,long_slender,-0.14590956270694733,0.16168303787708282,-4.63297700881958
3389,3388,Mesh.3388,3388,Mesh_1060.005,mesh,mesh_3389,1,9,wheels_castors,0.5799267292022705,8,joints_clamps_structural_connectors,0.07315564900636673,468,456,0.011874851770699024,,-0.3199988901615143,0.36500000953674316,-4.592930793762207,-0.28000113368034363,0.42900002002716064,-4.553034782409668,0.039997756481170654,0.06400001049041748,0.03989601135253906,0.08536693498154015,0.00010212807732562177,0.06400001049041748,0.039997756481170654,0.03989601135253906,1.6000900080619804,0.6233750752042856,0.16416330601553195,irregular,-0.30000001192092896,0.4009992182254791,-4.572982311248779
3390,3389,Mesh.3389,3389,Mesh_106.014,mesh,mesh_3390,1,4,bearings_bushings_guides,0.21643605828285217,3,pins_rivets_keys,0.14474178850650787,136,132,0.0001628698082640767,,0.6200082898139954,0.7780002355575562,-4.534483432769775,0.624991238117218,0.788000226020813,-4.529483318328857,0.004982948303222656,0.009999990463256836,0.005000114440917969,0.012240536241525272,2.4915288008198373e-07,0.009999990463256836,0.005000114440917969,0.004982948303222656,1.9999523173755485,0.4982953055337005,0.13585154425391407,irregular,0.6224997639656067,0.785059928894043,-4.531985282897949
3391,3390,Mesh.3390,3390,Mesh_1059.005,mesh,mesh_3391,1,8,joints_clamps_structural_connectors,0.6704416871070862,1,nuts,0.06051597371697426,808,736,0.005377598572522402,,-0.3550000488758087,0.36500000953674316,-4.469982147216797,-0.33500003814697266,0.40000003576278687,-4.419981956481934,0.02000001072883606,0.0350000262260437,0.05000019073486328,0.06422632901310811,3.500017851609684e-05,0.05000019073486328,0.0350000262260437,0.02000001072883606,1.4285758076849062,0.39999868870281713,0.13210856046101263,irregular,-0.34246426820755005,0.3754052221775055,-4.444981575012207
3392,3391,Mesh.3391,3391,Mesh_1058.005,mesh,mesh_3392,1,9,wheels_castors,0.674493670463562,2,washers_rings_spacers,0.04747265204787254,468,456,0.011874852702021599,,-0.009998910129070282,0.36500000953674316,-4.702930450439453,0.029998861253261566,0.42900002002716064,-4.663034439086914,0.03999777138233185,0.06400001049041748,0.03989601135253906,0.0853669419633195,0.00010212811537342937,0.06400001049041748,0.03999777138233185,0.03989601135253906,1.6000894119487894,0.6233750752042856,0.16416332689600588,irregular,0.009999969974160194,0.4009992182254791,-4.682981491088867
3393,3392,Mesh.3392,3392,Mesh_1057.005,mesh,mesh_3393,1,9,wheels_castors,0.5266241431236267,8,joints_clamps_structural_connectors,0.07487375289201736,468,456,0.011874851770699024,,-0.3199988901615143,0.36500000953674316,-4.702930450439453,-0.28000113368034363,0.42900002002716064,-4.663034439086914,0.039997756481170654,0.06400001049041748,0.03989601135253906,0.08536693498154015,0.00010212807732562177,0.06400001049041748,0.039997756481170654,0.03989601135253906,1.6000900080619804,0.6233750752042856,0.16416330601553195,irregular,-0.30000001192092896,0.4009992182254791,-4.682981491088867
